date,curve,inventory,price
2018-11-07,-1.444,-0.99811,-2.78
2018-11-08,-1.442,-0.99995,-2.86
2018-11-09,-1.441,-0.99991,-2.94
2018-11-12,-1.439,-1.00045,-3.00
2018-11-13,-1.438,-0.99927,-3.03
2018-11-14,-1.439,-0.99886,-3.05
2018-11-15,-1.442,-0.99231,-3.04
2018-11-16,-1.441,-0.98634,-3.02
2018-11-19,-1.440,-0.99187,-3.00
2018-11-20,-1.437,-1.00038,-2.99
2018-11-21,-1.432,-0.99748,-2.97
2018-11-22,-1.429,-0.99443,-2.95
2018-11-23,-1.424,-0.99237,-2.93
2018-11-26,-1.421,-0.98851,-2.90
2018-11-27,-1.418,-0.98767,-2.86
2018-11-28,-1.416,-0.98740,-2.82
2018-11-29,,-0.98513,
2018-11-30,-1.414,-0.98459,-2.75
2018-12-03,-1.415,-0.98305,-2.72
2018-12-04,-1.417,-0.97915,-2.71
2018-12-05,-1.419,-0.97567,-2.70
2018-12-06,-1.423,-0.97667,-2.70
2018-12-07,-1.424,-0.97304,-2.70
2018-12-10,-1.427,,
2018-12-11,-1.429,-0.95120,-2.68
2018-12-12,-1.432,-0.93649,-2.67
2018-12-13,-1.434,-0.90636,-2.64
2018-12-14,-1.436,-0.92807,-2.66
2018-12-17,-1.438,-0.90010,-2.63
2018-12-18,-1.440,-0.88718,-2.63
2018-12-19,-1.442,-0.88411,-2.63
2018-12-20,-1.442,-0.85014,-2.61
2018-12-21,-1.444,-0.84909,-2.62
2018-12-24,-1.444,-0.80694,-2.59
2018-12-25,-1.444,-0.80531,-2.60
2018-12-26,-1.444,-0.80316,-2.62
2018-12-27,-1.445,-0.79655,-2.64
2018-12-28,-1.446,-0.79494,
2018-12-31,-1.447,-0.79405,-2.67
2019-01-01,-1.450,-0.79226,-2.69
2019-01-02,-1.453,-0.79219,-2.70
2019-01-03,-1.454,-0.77723,-2.70
2019-01-04,-1.454,-0.76974,-2.70
2019-01-07,-1.455,-0.76577,-2.72
2019-01-08,-1.456,-0.76694,-2.73
